-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.38,74.69,-42.22,-32.75,-34.90,-0.11
-48.39,74.69,-42.22,-32.75,-34.89,-0.12
-48.18,74.68,-42.27,-32.77,-35.16,-0.10
-48.18,74.68,-42.27,-32.77,-35.16,-0.10
-47.70,74.59,-42.41,-32.80,-35.84,-0.06
-47.11,74.46,-42.61,-32.82,-36.71,-0.03
-47.11,74.46,-42.61,-32.82,-36.71,-0.03
-46.52,74.32,-42.83,-32.84,-37.60,-0.01
-46.05,74.21,-43.00,-32.84,-38.31,0.02
-46.05,74.21,-43.00,-32.84,-38.31,0.02
-45.78,74.13,-43.11,-32.85,-38.72,0.03
-45.39,74.01,-43.28,-32.85,-39.35,0.04
-45.39,74.01,-43.28,-32.85,-39.35,0.04
-44.84,73.82,-43.53,-32.86,-40.22,0.06
-44.84,73.82,-43.53,-32.86,-40.22,0.06
-44.26,73.62,-43.80,-32.87,-41.17,0.08
-43.76,73.44,-44.03,-32.87,-41.98,0.10
-43.76,73.44,-44.03,-32.87,-41.98,0.10
-44.13,73.64,-43.80,-32.89,-41.30,0.10
-43.51,73.70,-43.83,-32.97,-41.99,0.15
-43.51,73.70,-43.83,-32.97,-41.99,0.15
-42.70,73.79,-43.88,-33.05,-42.91,0.21
-41.84,73.87,-43.94,-33.13,-43.89,0.27
-41.84,73.87,-43.94,-33.13,-43.89,0.27
-41.10,73.95,-43.98,-33.19,-44.75,0.31
-41.10,73.95,-43.98,-33.19,-44.75,0.31
-40.64,74.00,-44.01,-33.22,-45.28,0.33
-40.19,74.04,-44.04,-33.25,-45.80,0.36
-40.19,74.04,-44.04,-33.25,-45.80,0.36
-39.48,74.11,-44.09,-33.30,-46.64,0.39
-38.65,74.19,-44.15,-33.35,-47.61,0.43
-38.65,74.19,-44.15,-33.35,-47.61,0.43
-37.87,74.27,-44.21,-33.40,-48.52,0.46
-38.35,74.21,-44.17,-33.40,-47.93,0.46
-38.35,74.21,-44.17,-33.40,-47.93,0.46
-37.63,74.22,-44.22,-33.49,-48.76,0.54
-36.79,74.22,-44.29,-33.58,-49.77,0.61
-36.79,74.22,-44.29,-33.58,-49.77,0.61
-35.98,74.22,-44.36,-33.66,-50.78,0.67
-35.33,74.21,-44.42,-33.72,-51.60,0.72
-35.33,74.21,-44.42,-33.72,-51.60,0.72
-34.95,74.21,-44.45,-33.76,-52.07,0.75
-34.46,74.20,-44.50,-33.80,-52.70,0.78
-34.46,74.20,-44.50,-33.80,-52.70,0.78
-33.75,74.18,-44.57,-33.85,-53.59,0.82
-33.75,74.18,-44.57,-33.85,-53.59,0.82
-32.98,74.17,-44.65,-33.90,-54.57,0.87
-32.29,74.15,-44.71,-33.95,-55.45,0.91
-32.29,74.15,-44.71,-33.95,-55.45,0.91
-32.69,74.17,-44.66,-33.94,-54.84,0.90
-31.95,74.12,-44.71,-34.01,-55.59,0.97
-31.95,74.12,-44.71,-34.01,-55.59,0.97
-31.07,74.03,-44.77,-34.07,-56.52,1.04
-30.22,73.92,-44.84,-34.13,-57.45,1.10
-30.22,73.92,-44.84,-34.13,-57.45,1.10
-29.53,73.84,-44.89,-34.17,-58.21,1.14
-29.13,73.79,-44.92,-34.20,-58.65,1.17
-29.13,73.79,-44.92,-34.20,-58.65,1.17
-28.62,73.72,-44.97,-34.22,-59.20,1.20
-27.89,73.62,-45.03,-34.26,-60.02,1.23
-27.89,73.62,-45.03,-34.26,-60.02,1.23
-27.08,73.51,-45.10,-34.29,-60.91,1.27
-27.08,73.51,-45.10,-34.29,-60.91,1.27
